Date,Ticker,Price,Industry,Revenue,Earnings,Margins,CashFlow,PE,FinalScore,WeightedScore
2026-04-06,PFE,28.10,Healthcare,Neutral,Neutral,Yikes,Good,Good,Watch,8.5
2026-04-06,ENB,53.82,Energy,Yikes,Good,Neutral,Neutral,Good,Watch,8.5
2026-04-06,MO,65.82,Consumer Staples,Neutral,Good,Yikes,Good,Good,Watch,10.0
2026-04-06,VALE,16.12,International,Neutral,Yikes,Yikes,Neutral,Yikes,Avoid,3.5
2026-04-06,ET,19.04,Energy,Yikes,Neutral,Yikes,Good,Good,Watch,7.5
2026-04-06,ABEV,2.98,International,Yikes,Neutral,Neutral,Good,Good,Watch,9.5
2026-04-06,DEO,73.88,Consumer Staples,Yikes,Neutral,Neutral,Good,Good,Watch,9.5
2026-04-06,CCI,86.93,REIT,Yikes,Neutral,Yikes,Good,Good,Watch,7.5
2026-04-07,KMB,96.55,Consumer Staples,Yikes,Neutral,Neutral,Neutral,Good,Watch,7.0
2026-04-07,EXR,134.06,REIT,Neutral,Neutral,Neutral,Good,Neutral,Watch,10.0
2026-04-07,AVVIY,16.42,International,Yikes,Neutral,Neutral,Yikes,Neutral,Avoid,4.0
2026-04-07,OMVKY,18.65,International,Yikes,Neutral,Neutral,Neutral,Neutral,Avoid,6.5
2026-04-07,TU,13.00,Tech,Yikes,Neutral,Neutral,Good,Neutral,Watch,9.0
2026-04-07,PAGP,23.56,Energy,Yikes,Good,Yikes,Good,Good,Watch,9.0
2026-04-07,LGGNY,17.01,International,Neutral,Neutral,Neutral,Yikes,Neutral,Avoid,5.0
2026-04-07,UDR,34.85,REIT,Yikes,Good,Neutral,Good,Neutral,Watch,10.5
2026-04-07,SUN,64.45,Energy,Good,Neutral,Neutral,Good,Neutral,Strong,11.0
2026-04-07,OHI,45.45,REIT,Neutral,Good,Yikes,Good,Good,Watch,10.0
2026-04-07,HRL,21.74,Consumer Staples,Neutral,Neutral,Neutral,Neutral,Neutral,Watch,7.5
2026-04-07,LAMR,128.12,MISC - outdoor advertising REIT,Yikes,Good,Good,Neutral,Good,Watch,10.5
2026-04-07,TIMB,25.85,MISC - Brazilian wirless carrier,Yikes,Good,Neutral,Good,Good,Strong,11.0
2026-04-07,BEN,23.49,MISC - Financial Services,Yikes,Neutral,Neutral,Neutral,Neutral,Avoid,6.5
2026-04-07,ASR,340.08,MISC - Mexican airports,Neutral,Good,Yikes,Good,Good,Watch,10.0
2026-04-07,BXP,51.79,REIT,Yikes,Neutral,Yikes,Good,Neutral,Watch,7.0
2026-04-07,CUBE,37.58,REIT,Yikes,Neutral,Neutral,Good,Neutral,Watch,9.0
2026-04-07,SWKS,54.51,Tech,Neutral,Yikes,Neutral,Good,Yikes,Watch,8.0
2026-04-07,NNN,42.99,REIT,Neutral,Neutral,Good,Good,Neutral,Strong,12.0
2026-04-07,KNTK,47.35,Energy,Good,Good,Yikes,Neutral,Good,Watch,8.5
